,ward,ward_total_incidents,ward_serious_crimes,avg_lat,avg_lon,ward_scrimes_percentage
0,3.0,1266,166,41.809238190708385,-87.63223827465325,13.112164296998422
1,4.0,819,102,41.82434654957509,-87.605762012486,12.454212454212454
2,5.0,39,6,41.75513893643591,-87.59077637410252,15.384615384615385
3,8.0,2452,295,41.73573427860933,-87.59073599357805,12.03099510603589
4,9.0,2520,359,41.670932565436544,-87.6051695652166,14.246031746031745
5,10.0,2176,259,41.68845918437225,-87.53906551639872,11.902573529411764
6,12.0,528,47,41.83016141397346,-87.67514939058329,8.901515151515152
7,13.0,1293,116,41.782020187309435,-87.74977629840825,8.971384377416861
8,19.0,1763,159,41.705958133787284,-87.68679534069462,9.018718094157686
9,21.0,25,3,41.71212166012001,-87.6594558108,12.0
10,22.0,1,0,41.807679846999996,-87.73857534,0.0
11,23.0,1267,102,41.791768546755435,-87.74262142222656,8.050513022888714
12,25.0,641,39,41.850992205152906,-87.63757138274251,6.084243369734789
13,29.0,159,17,41.92838381438368,-87.80201193932083,10.69182389937107
14,33.0,24,1,41.97525264029166,-87.70720007004167,4.166666666666666
15,34.0,31,4,41.708215705258056,-87.65793920506452,12.903225806451612
16,36.0,628,57,41.929267298422,-87.7978796546225,9.076433121019107
17,39.0,1196,110,41.984985132731715,-87.73153011388688,9.197324414715718
18,40.0,107,10,41.981032264523364,-87.71018059835514,9.345794392523365
19,41.0,1749,146,41.990546572594134,-87.80359029127222,8.347627215551743
20,45.0,1775,159,41.97689129075549,-87.76994021256967,8.95774647887324
21,50.0,266,20,41.99397753572178,-87.71499061640964,7.518796992481203
